Root	Lang	Orth	IPA	Note
*p	La	p	p	
*t	La	t	t	
*k	La	c	k	
*b	La	b	b	root: whether PIE had b is disputed
*d	La	d	d	
*g	La	g	ɡ	
*bh	La	f	f	really other alternatives
*dh	La	f	f	really other alternatives
*gh	La	h	h	really other alternatives
*m	La	m	m
