Root	Lang	Orth	IPA	Note
*p	La	p	p	
*t	La	t	t	
*k	La	c	k	
*b	La	b	b	root: whether PIE had b is disputed
*d	La	d	d	
*g	La	g	g	
*bh	La	b;f	b;f	f word initially, else b
*dh	La	d;f;b	f;d;b	f word initially, b > u,r or < r,l, else d
*gh	La	h;g	h;g	g before sonorant else h
