Root	Lang	Orth	IPA	Note
*p	AGr	π	p	
*t	AGr	τ	t	
*k	AGr	κ	k	
*b	AGr	β	b	root: whether PIE had b is disputed
*d	AGr	δ	d	
*g	AGr	γ	ɡ	
*bh	AGr	φ	pʰ	ipa: later pʰ -> f
*dh	AGr	θ	tʰ	ipa: later tʰ -> θ
*gh	AGr	χ	kʰ	ipa: later kʰ -> χ
*m	AGr	μ	m
