Root	Lang	Orth	IPA	Note
*p	OE	f	f	
*t	OE	þ	θ	really other alternatives
*k	OE	h	x	
*b	OE	p	p	root: whether PIE had b is disputed
*d	OE	t	t	
*g	OE	c	k	
*bh	OE	b	b	
*dh	OE	d	d	
*gh	OE	g	ɡ	really other alternatives
*m	OE	m	m
