Root	Lang	Orth	IPA	Note
*p	AGr	p	p	
*t	AGr	t	t	
*k	AGr	k	k	
*b	AGr	b	b	root: whether PIE had b is disputed
*d	AGr	d	d	
*g	AGr	g	ɡ	
*bh	AGr	ph	pʰ	ipa: later pʰ -> f
*dh	AGr	th	tʰ	ipa: later tʰ -> θ
*gh	AGr	kh	kʰ	ipa: later kʰ -> χ
*m	AGr	m	m
