Root	Lang	Orth	IPA	Note
*p	AGr	π/p	p	
*t	AGr	τ/t	t	
*k	AGr	κ/k	k	
*b	AGr	β/b	b	root: whether PIE had b is disputed
*d	AGr	δ/d	d	
*g	AGr	γ/g	ɡ	
*bh	AGr	φ/ph	pʰ	ipa: later pʰ -> f
*dh	AGr	θ/th	tʰ	ipa: later tʰ -> θ
*gh	AGr	χ/kh	kʰ	ipa: later kʰ -> χ
*m	AGr	μ/m	m
